agcnum,radeg,decdeg,vhel,sepmin
  7482,186.0612, 8.5364, 1173,253.4560
220516,186.0912,13.0297,  125, 36.6949
223556,186.1087, 7.1133, 2906,338.0074
  7488,186.1179, 7.3178, 1240,325.7425
226332,186.1304, 6.4881,  654,375.2798
223561,186.1333, 8.6375, 1245,246.9002
734756,186.1471, 6.0328, 1066,402.4456
220525,186.1646, 8.5039,  875,254.6551
220529,186.1958, 7.3531, 1274,323.2342
222967,186.1983,14.5764, 1205,114.0674
223566,186.1992, 8.9914,  955,225.3575
220532,186.2017,18.1950,  710,329.2697
220531,186.2067, 6.7594, 1083,358.7037
221552,186.2150,13.1111,  955, 33.8040
223568,186.2229, 9.4931,  728,195.3018
223569,186.2250, 7.5567, 1241,310.9191
742314,186.2287,16.8108, 2414,246.3938
  7492,186.2292, 7.4439,  787,317.6475
  7493,186.2308,11.7039,  941, 65.5584
223570,186.2337,11.8322, 1833, 58.3713
222509,186.2625, 7.5039, 1341,313.9139
223571,186.2642,13.2444,  968, 38.0316
220539,186.2654,17.0161, 2436,258.4715
  7494,186.2663,12.8867, 1033, 23.6511
222736,186.2667,10.1008,  904,158.8060
222972,186.2675,15.7114, 1393,180.5657
220537,186.2733, 5.3292, 2044,444.1437
223574,186.2842, 6.8906, 1433,350.5568
  7501,186.3013,14.7619, 1375,123.8641
222825,186.3046,13.0256,  -86, 26.4724
  7499,186.3104,11.8492, 2472, 55.7565
  7502,186.3113,15.6072, 1071,174.0687
  7500,186.3133,12.7142, -214, 18.7755
223314,186.3200,11.6053,  121, 69.5461
222753,186.3225,14.1725,  573, 88.8493
  7498,186.3254, 5.7408, 1156,419.3278
  7504,186.3400,16.4294,  918,223.0407
220542,186.3400,13.0708, 1910, 27.0413
  7503,186.3421,10.0164,  963,163.3017
222979,186.3467,14.8033, 1401,125.9381
221553,186.3500,18.1397,  773,325.4178
  7508,186.3508,18.1906,  758,328.4614
  7507,186.3562,16.4697, 1694,225.3809
224745,186.3688,12.6367, 2424, 16.3682
220545,186.3708,13.4981, -215, 48.9801
224232,186.3813,11.1583,  894, 95.0451
  7510,186.3879,12.2597, -141, 31.3123
222646,186.3900,13.2269, -340, 33.4330
222981,186.3946,15.1939, 1494,148.9072
734761,186.3971, 5.3808, 2315,440.7532
222983,186.4000,15.8472, 1087,187.9463
222510,186.4017,15.8297, 1086,186.8921
220549,186.4050,13.1436, -749, 28.5696
223585,186.4113,14.1506,  391, 86.6341
221554,186.4113,12.3133, 1691, 27.8282
224185,186.4117, 7.7322, 1512,299.7341
220552,186.4150,10.5839, 1496,128.9901
222833,186.4221,13.0475,  564, 23.0808
  7517,186.4238,12.8097,  584, 13.3581
  7513,186.4288, 7.2161,  995,330.6357
222754,186.4346,13.0219,  720, 21.3959
  7520,186.4454,12.6619, 2545, 11.6301
220555,186.4479,14.9519,  505,134.1753
221555,186.4596,13.1975, -730, 30.2415
  7519,186.4608,10.4586, 1118,136.2440
226342,186.4633, 7.7875,  687,296.3012
220558,186.4688, 5.8100, 1537,414.8952
  7518,186.4754, 7.5542, 1194,310.2713
  7523,186.4821,18.2136,  914,329.5537
222840,186.4821,12.7697,  701,  9.3216
221660,186.4838, 7.2347,  961,329.4162
220559,186.4913,10.0539, 1002,160.3665
222994,186.4954,15.2767,  943,153.4322
  7526,186.4958,15.6708, -155,177.0525
220561,186.5058, 8.1931, 1304,271.9018
220566,186.5221,11.8122, 1277, 55.0391
221556,186.5233,12.5594, 1636, 11.7593
220568,186.5275,12.8608, 1265, 10.3552
  7529,186.5300,16.1803, 1742,207.5246
  7528,186.5313,13.1128,  236, 24.1462
  7532,186.5492,12.9461, -221, 14.2770
222845,186.5625,12.9639, 1101, 15.0465
220572,186.5767, 8.3500, 1100,262.4017
223604,186.5833,12.5064,  666, 13.3310
220578,186.5900, 6.6697, 1483,363.2060
221872,186.5942,12.7867, 2114,  4.4750
223608,186.6042,10.5817, 1026,128.4919
223610,186.6087,16.5231, 2031,228.0081
  7537,186.6250, 8.8717, 1280,231.0806
  7538,186.6342,12.6103,   96,  6.7633
220587,186.6350,13.5789, 1375, 51.3534
220589,186.6383,12.7428, 1115,  1.2134
223619,186.6463, 9.9833,  443,164.3815
742339,186.6617,16.7175, 1610,239.6754
221558,186.6658,12.5136, -254, 12.7009
  7540,186.6687, 8.4353,  910,257.2715
742341,186.6738,18.1369,  703,324.8448
223624,186.6829, 8.8233, 1380,233.9977
224221,186.6833,10.9047,  559,109.1351
223625,186.6850,11.3797, 1291, 80.6521
  7541,186.6946, 7.9186, 1380,288.2855
220591,186.6963,12.4539, 1471, 16.5530
  7546,186.6967, 8.8844, 1269,230.3429
226354,186.7000, 7.6717,  619,303.1050
  7547,186.7100,11.5583, 1100, 70.0220
  7542,186.7104, 9.5833,  843,188.4337
  7548,186.7129,13.1750,  162, 27.5098
  7550,186.7263,11.6636, 2084, 63.7932
223316,186.7267,10.6656, 1275,123.5667
221559,186.7275,13.5658, -629, 50.8642
220594,186.7321, 9.8822,  985,170.5443
  7551,186.7358,15.0469, -182,139.5628
220597,186.7467,14.7822, 1866,123.7277
  7554,186.7608,15.4611, 1602,164.4523
220598,186.7629,12.5608,  791, 12.3139
222859,186.7658,12.8650, 1135, 11.4930
  7556,186.7871, 5.8800, 1092,410.6799
223640,186.7913, 8.3900, 1418,260.1453
223642,186.7967,12.0381,  102, 42.1876
  7557,186.7971, 7.2625,  928,327.7715
  7563,186.7992,15.8972, 2375,190.6952
223641,186.7996, 8.8400, 1259,233.1842
  7561,186.7996, 9.4200,  432,198.4196
223644,186.8029,17.8208, 1069,306.0262
226357,186.8033, 7.6392, 1171,305.1937
  7562,186.8062,12.7344, 1881, 10.1039
220604,186.8204,16.0244, 1727,198.3827
220603,186.8233, 7.6706, 1846,303.3526
222511,186.8237,14.1467, -406, 86.1346
223647,186.8279, 8.2128, 1449,270.8550
223317,186.8346,16.4283,  776,222.6248
222863,186.8379,13.1117,  -28, 26.1922
  7565,186.8425,10.8664,  928,112.0676
220606,186.8533,13.7164,  338, 60.9646
742352,186.8542,19.2633,  647,392.6252
223652,186.8558,13.7506, 2422, 62.9999
  7566,186.8596, 6.2631, 1472,387.8262
  7568,186.8608,11.1075, 1131, 97.8404
  7569,186.8638,12.2897,  913, 29.2735
  7567,186.8712, 7.6433,  838,305.1016
220609,186.8754, 9.3411, 1712,203.4106
220610,186.8817, 9.5983,   32,188.0458
220614,186.8833,11.6153, 1378, 68.0530
220616,186.8892,10.0039,  856,163.8354
223660,186.8950,15.7394, 2084,181.6219
  7571,186.9029, 8.1536, 1068,274.6219
222512,186.9067,14.4556, 1306,105.1624
222865,186.9083,12.8803,   77, 18.6189
742357,186.9117,18.4344, 1054,343.0618
  7575,186.9187,13.0789,  773, 27.0793
223663,186.9196,15.9450,  868,194.0313
  7573,186.9217,12.3156, 1125, 29.6905
222647,186.9254,12.0897, -500, 41.6577
223666,186.9337,11.2133, 1441, 92.2727
222866,186.9358,12.9819, -143, 23.5187
  7574,186.9408,13.0089,   86, 24.8262
222867,186.9408,12.8719,  -62, 20.0535
223668,186.9429,11.4350, 1310, 79.3768
  7581,186.9733,12.2931,  739, 32.5658
  7580,186.9788, 8.0897,  716,278.7397
