"epseason","epnum","epname","Chandler","Joey","Monica","Phoebe","Rachel","Ross"
8,18,"The One in Massapequa",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
8,19,"The One with Joey's Interview",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
8,20,"The One with the Baby Shower",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
8,20,"The One with the Baby Shower",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
8,20,"The One with the Baby Shower",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
8,21,"The One with the Cooking Class",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
8,21,"The One with the Cooking Class",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
8,21,"The One with the Cooking Class",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
8,22,"The One Where Rachel Is Late",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
8,22,"The One Where Rachel Is Late",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
8,22,"The One Where Rachel Is Late",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
8,23,"The One Where Rachel Has a Baby: Part 1",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
8,23,"The One Where Rachel Has a Baby: Part 1",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
8,23,"The One Where Rachel Has a Baby: Part 1",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
8,24,"The One Where Rachel Has a Baby: Part 2",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
8,24,"The One Where Rachel Has a Baby: Part 2",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
8,24,"The One Where Rachel Has a Baby: Part 2",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
9,1,"The One Where No One Proposes",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
9,1,"The One Where No One Proposes",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
9,1,"The One Where No One Proposes",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
9,2,"The One Where Emma Cries",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
9,2,"The One Where Emma Cries",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
9,2,"The One Where Emma Cries",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
9,3,"The One with the Pediatrician",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
9,3,"The One with the Pediatrician",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
9,4,"The One with the Sharks",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
9,4,"The One with the Sharks",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
9,5,"The One with Phoebe's Birthday Dinner",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
9,5,"The One with Phoebe's Birthday Dinner",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
9,5,"The One with Phoebe's Birthday Dinner",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
9,6,"The One with the Male Nanny",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
9,6,"The One with the Male Nanny",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
9,6,"The One with the Male Nanny",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
9,7,"The One with Ross's Inappropriate Song",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
9,7,"The One with Ross's Inappropriate Song",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
9,7,"The One with Ross's Inappropriate Song",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
9,8,"The One with Rachel's Other Sister",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
9,8,"The One with Rachel's Other Sister",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
9,9,"The One with Rachel's Phone Number",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
9,9,"The One with Rachel's Phone Number",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
9,9,"The One with Rachel's Phone Number",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
9,10,"The One with Christmas in Tulsa",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
9,10,"The One with Christmas in Tulsa",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
